alert_id,user_id,alert_datetime,alert_type,severity,signals_triggered,explanation,recommended_action,escalation_level_0_4,buddy_notified,resolved
A00013,U002,2025-09-13T10:30:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Maintain routine; short walk + hydration,1,,0
A00014,U003,2025-09-15T22:15:00,finance;sleep;stress,medium,sleep_low;stress_high;cashflow_low,"Deviation detected vs personal baseline: sleep_low, stress_high, cashflow_low.",Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step | Call CA to review EMI plan & receivables today,1,,0
A00015,U003,2025-09-19T22:15:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00016,U002,2025-09-22T10:30:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Maintain routine; short walk + hydration,1,,0
A00017,U002,2025-10-03T10:30:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step,1,,0
A00018,U001,2025-10-04T21:30:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step,1,,0
A00019,U004,2025-10-04T22:45:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Maintain routine; short walk + hydration,1,,0
A00095,U001,2025-10-05T20:00:00,finance,medium,spend_spike,Spending spike detected vs 7-day baseline.,Enable spend pause; review cart/food orders; set weekly budget.,1,,0
A00020,U001,2025-10-06T23:30:00,mood,high,mood_low,Deviation detected vs personal baseline: mood_low.,Enable 'spend pause' for Amazon/food delivery for 24h,2,B001,0
A00021,U004,2025-10-07T22:45:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Maintain routine; short walk + hydration,1,,0
A00022,U001,2025-10-11T21:30:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step | Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00023,U004,2025-10-12T22:45:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step | Write a 3-line 'bullying response script' + message buddy,1,,0
A00024,U004,2025-10-14T22:45:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Plan a 20-min power nap or early bedtime slot | Write a 3-line 'bullying response script' + message buddy,1,,0
A00025,U003,2025-10-15T22:15:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Maintain routine; short walk + hydration,1,,0
A00027,U004,2025-10-16T22:45:00,mood;stress,medium,stress_high;mood_low,"Deviation detected vs personal baseline: stress_high, mood_low.",Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step | Write a 3-line 'bullying response script' + message buddy,1,,0
A00026,U001,2025-10-16T23:30:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step | Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00028,U004,2025-10-18T22:45:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step | Write a 3-line 'bullying response script' + message buddy,1,,0
A00029,U004,2025-10-19T22:45:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step | Write a 3-line 'bullying response script' + message buddy,1,,0
A00030,U001,2025-10-20T23:30:00,mood;stress,medium,stress_high;mood_low,"Deviation detected vs personal baseline: stress_high, mood_low.",2-min breathing + shorten next task into one micro-step | Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00031,U004,2025-10-21T22:45:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step | Write a 3-line 'bullying response script' + message buddy,1,,0
A00032,U004,2025-10-23T22:45:00,engagement/isolation,medium,missed_checkin,Deviation detected vs personal baseline: missed_checkin.,"Retry check-in; if no response, ping buddy/caregiver",1,,0
A00033,U001,2025-11-01T21:30:00,alcohol;mood;stress,high,stress_high;mood_low;alcohol_high,"Deviation detected vs personal baseline: stress_high, mood_low, alcohol_high.",2-min breathing + shorten next task into one micro-step | Enable 'spend pause' for Amazon/food delivery for 24h,2,B001,0
A00034,U001,2025-11-03T21:30:00,sleep;stress,medium,sleep_low;stress_high,"Deviation detected vs personal baseline: sleep_low, stress_high.",Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step | Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00096,U001,2025-11-05T20:00:00,finance,medium,spend_spike,Spending spike detected vs 7-day baseline.,Enable spend pause; review cart/food orders; set weekly budget.,1,,0
A00035,U001,2025-11-08T21:30:00,mood;stress,high,stress_high;mood_low,"Deviation detected vs personal baseline: stress_high, mood_low.",2-min breathing + shorten next task into one micro-step | Enable 'spend pause' for Amazon/food delivery for 24h,2,B001,0
A00036,U001,2025-11-10T21:30:00,engagement/isolation,medium,missed_checkin,Deviation detected vs personal baseline: missed_checkin.,"Retry check-in; if no response, ping buddy/caregiver",1,,0
A00037,U003,2025-11-10T22:15:00,sleep,medium,sleep_low,Deviation detected vs personal baseline: sleep_low.,Plan a 20-min power nap or early bedtime slot | Move funds or negotiate partial payment before 5pm,1,,0
A00038,U002,2025-11-11T10:30:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Maintain routine; short walk + hydration,1,,0
A00039,U003,2025-11-14T22:15:00,sleep;stress,medium,sleep_low;stress_high,"Deviation detected vs personal baseline: sleep_low, stress_high.",Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00040,U002,2025-11-15T10:30:00,engagement/isolation,medium,missed_checkin,Deviation detected vs personal baseline: missed_checkin.,"Retry check-in; if no response, ping buddy/caregiver",1,B005,0
A00041,U002,2025-11-16T10:30:00,engagement/isolation,high,missed_checkin,Deviation detected vs personal baseline: missed_checkin.,"Retry check-in; if no response, ping buddy/caregiver",3,B005,0
A00042,U001,2025-11-17T21:30:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step | Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00043,U002,2025-11-18T10:30:00,engagement/isolation,medium,missed_checkin,Deviation detected vs personal baseline: missed_checkin.,"Retry check-in; if no response, ping buddy/caregiver",1,B005,0
A00044,U002,2025-11-19T10:30:00,engagement/isolation,high,missed_checkin,Deviation detected vs personal baseline: missed_checkin.,"Retry check-in; if no response, ping buddy/caregiver",3,B005,0
A00045,U003,2025-11-19T22:15:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step,1,,0
A00046,U002,2025-11-21T10:30:00,engagement/isolation,medium,missed_checkin,Deviation detected vs personal baseline: missed_checkin.,"Retry check-in; if no response, ping buddy/caregiver",1,B005,0
A00047,U003,2025-11-21T22:15:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step,1,,0
A00048,U002,2025-11-22T10:30:00,engagement/isolation,high,missed_checkin,Deviation detected vs personal baseline: missed_checkin.,"Retry check-in; if no response, ping buddy/caregiver",3,B005,0
A00049,U002,2025-11-23T10:30:00,bp;mood,high,mood_low;bp_high,"Deviation detected vs personal baseline: mood_low, bp_high.","Sit, breathe, recheck BP in 15 min; inform nurse if persists | Prep a short story/photo to share on the call",2,B005,0
A00050,U004,2025-11-23T22:45:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Maintain routine; short walk + hydration,1,,0
A00051,U002,2025-11-24T10:30:00,engagement/isolation,medium,missed_checkin,Deviation detected vs personal baseline: missed_checkin.,"Retry check-in; if no response, ping buddy/caregiver",1,B005,0
A00052,U002,2025-11-25T10:30:00,mood;stress,medium,stress_high;mood_low,"Deviation detected vs personal baseline: stress_high, mood_low.",2-min breathing + shorten next task into one micro-step,1,,0
A00053,U004,2025-11-25T22:45:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step | Write a 3-line 'bullying response script' + message buddy,1,,0
A00054,U002,2025-11-28T10:30:00,mood,high,mood_low,Deviation detected vs personal baseline: mood_low.,Maintain routine; short walk + hydration,2,B005,0
A00055,U004,2025-11-29T22:45:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step | Write a 3-line 'bullying response script' + message buddy,1,,0
A00056,U002,2025-12-01T10:30:00,mood,high,mood_low,Deviation detected vs personal baseline: mood_low.,Maintain routine; short walk + hydration,2,B005,0
A00057,U003,2025-12-01T22:15:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00058,U003,2025-12-03T22:15:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step,1,,0
A00097,U001,2025-12-05T20:00:00,finance,medium,spend_spike,Spending spike detected vs 7-day baseline.,Enable spend pause; review cart/food orders; set weekly budget.,1,,0
A00059,U003,2025-12-05T22:15:00,sleep;stress,medium,sleep_low;stress_high,"Deviation detected vs personal baseline: sleep_low, stress_high.",Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00060,U003,2025-12-08T22:15:00,sleep;stress,high,sleep_low;stress_high,"Deviation detected vs personal baseline: sleep_low, stress_high.",Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,2,B007,0
A00061,U001,2025-12-09T21:30:00,sleep,medium,sleep_low,Deviation detected vs personal baseline: sleep_low.,Plan a 20-min power nap or early bedtime slot | Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00062,U003,2025-12-10T22:15:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Plan a 20-min power nap or early bedtime slot | Move funds or negotiate partial payment before 5pm,1,,0
A00063,U001,2025-12-11T21:30:00,sleep,medium,sleep_low,Deviation detected vs personal baseline: sleep_low.,Plan a 20-min power nap or early bedtime slot | Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00064,U001,2025-12-15T21:30:00,mood,high,mood_low,Deviation detected vs personal baseline: mood_low.,Enable 'spend pause' for Amazon/food delivery for 24h,2,B001,0
A00065,U003,2025-12-15T22:15:00,sleep;stress,medium,sleep_low;stress_high,"Deviation detected vs personal baseline: sleep_low, stress_high.",Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00066,U001,2025-12-16T21:30:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step | Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00067,U003,2025-12-17T22:15:00,sleep;stress,medium,sleep_low;stress_high,"Deviation detected vs personal baseline: sleep_low, stress_high.",Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00068,U003,2025-12-19T22:15:00,sleep,medium,sleep_low,Deviation detected vs personal baseline: sleep_low.,Plan a 20-min power nap or early bedtime slot,1,,0
A00069,U001,2025-12-20T21:30:00,sleep,medium,sleep_low,Deviation detected vs personal baseline: sleep_low.,Plan a 20-min power nap or early bedtime slot | Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00070,U004,2025-12-25T22:45:00,sleep,medium,sleep_low,Deviation detected vs personal baseline: sleep_low.,Plan a 20-min power nap or early bedtime slot | Write a 3-line 'bullying response script' + message buddy,1,,0
A00071,U001,2025-12-27T21:30:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step | Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00072,U003,2025-12-29T22:15:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step,1,,0
A00073,U003,2025-12-31T22:15:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step,1,,0
A00074,U001,2026-01-01T21:30:00,mood;sleep,medium,sleep_low;mood_low,"Deviation detected vs personal baseline: sleep_low, mood_low.",Plan a 20-min power nap or early bedtime slot | Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00075,U004,2026-01-04T22:45:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Maintain routine; short walk + hydration,1,,0
A00098,U001,2026-01-05T20:00:00,finance,medium,spend_spike,Spending spike detected vs 7-day baseline.,Enable spend pause; review cart/food orders; set weekly budget.,1,,0
A00076,U001,2026-01-06T21:30:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step | Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00077,U002,2026-01-09T10:30:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step | Hydrate + choose low-sugar meal; confirm medication taken,1,,0
A00078,U001,2026-01-13T21:30:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step | Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00079,U002,2026-01-17T10:30:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step,1,,0
A00080,U003,2026-01-21T22:15:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00081,U003,2026-01-23T22:15:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step,1,,0
A00082,U004,2026-01-25T22:45:00,mood;stress,high,stress_high;mood_low,"Deviation detected vs personal baseline: stress_high, mood_low.",2-min breathing + shorten next task into one micro-step | Write a 3-line 'bullying response script' + message buddy,2,B011,0
A00083,U003,2026-01-26T22:15:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00084,U001,2026-01-27T21:30:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step | Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00085,U003,2026-01-28T22:15:00,sleep;stress,medium,sleep_low;stress_high,"Deviation detected vs personal baseline: sleep_low, stress_high.",Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00086,U004,2026-01-29T22:45:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Maintain routine; short walk + hydration,1,,0
A00087,U003,2026-01-30T22:15:00,mood;sleep;stress,high,sleep_low;stress_high;mood_low,"Deviation detected vs personal baseline: sleep_low, stress_high, mood_low.",Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,2,B007,0
A00088,U004,2026-01-31T22:45:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step | Write a 3-line 'bullying response script' + message buddy,1,,0
A00089,U003,2026-02-02T22:15:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step,1,,0
A00090,U001,2026-02-03T21:30:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,2-min breathing + shorten next task into one micro-step | Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00091,U003,2026-02-04T22:15:00,sleep;stress,medium,sleep_low;stress_high,"Deviation detected vs personal baseline: sleep_low, stress_high.",Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00099,U001,2026-02-05T20:00:00,finance,medium,spend_spike,Spending spike detected vs 7-day baseline.,Enable spend pause; review cart/food orders; set weekly budget.,1,,0
A00092,U004,2026-02-08T22:45:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Write a 3-line 'bullying response script' + message buddy,1,,0
A00093,U002,2026-02-21T10:30:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Maintain routine; short walk + hydration,1,,0
